flowcell,run_date,reads_passing_filter_percent,total_q30_bases_percent,non_demultiplexed_reads_percent,screen,GICC,glass_delta_logfc,auroc,auprrc,nmmd,sample,dna_quant,sample_representation_percent,matching_grna_reads_percent,zero_count_plasmid_percent,grna_gc_regression,gini_coefficient
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,1,0.633658363129322,2.36887318962246,0.954554720887722,0.694847714755024,0.885721138699492,S1,0.0739687480543025,0.330165986253281,82.5886331071225,7.62184049330142,0.727451131398471,0.154033616253343
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,1,0.633658363129322,2.36887318962246,0.954554720887722,0.694847714755024,0.885721138699492,S2,0.229109658939032,6.19595868189808e-11,93.9028541630401,0.000194886802356511,0.612257223137793,0.895804288350673
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,1,0.633658363129322,2.36887318962246,0.954554720887722,0.694847714755024,0.885721138699492,S3,1.39402590605395,1.21383079602807e-20,70.9611185677944,23.8665608292305,1.17769072621495,0.237039817053126
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,1,0.633658363129322,2.36887318962246,0.954554720887722,0.694847714755024,0.885721138699492,S4,1.32722841298768,7.01244544579609e-09,97.6398769791827,0.119416862324404,-0.486950401550312,0.466011301230605
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,2,0.679677953483397,1.82008871957153,0.972446782917878,0.726831332083482,0.782029891775178,S5,2.69012002486188,1.00013506728248e-18,83.9664027685368,9.06740548888227e-38,1.36778579069421,0.22971306565433
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,2,0.679677953483397,1.82008871957153,0.972446782917878,0.726831332083482,0.782029891775178,S6,1.2695863562465,0.308674830671072,51.1537839025152,0.210850269580074,-0.501871144602096,0.733137745766035
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,2,0.679677953483397,1.82008871957153,0.972446782917878,0.726831332083482,0.782029891775178,S7,0.1503050636301,1.20611783680585e-10,64.4095947789498,2.35817920823235e-05,-1.73435548633878,0.469619605207713
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,2,0.679677953483397,1.82008871957153,0.972446782917878,0.726831332083482,0.782029891775178,S8,0.0306451409541095,0.578333375837242,36.1353123730006,2.12446165567225,1.54142122954797,0.404875281145741
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,3,0.402475921915068,2.69974955138295,0.972718069045912,0.803046533724495,1.08161122040022,S9,1.11644370418574,6.54519300258434e-07,85.2582333872297,2.03587370004678e-33,0.763606684638333,0.266873365457476
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,3,0.402475921915068,2.69974955138295,0.972718069045912,0.803046533724495,1.08161122040022,S10,4.35914479775664,9.11151761825549e-11,52.6546882436419,2.59563655787067e-07,1.16160654167245,0.878335617815912
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,3,0.402475921915068,2.69974955138295,0.972718069045912,0.803046533724495,1.08161122040022,S11,1.11349630711817,1.15918572782636e-06,67.1148768244619,1.51879580913161e-16,0.441394307769022,0.707052368564193
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,3,0.402475921915068,2.69974955138295,0.972718069045912,0.803046533724495,1.08161122040022,S12,1.58954183492181,10.7900852697211,99.4303707503441,13.5543984498171,-0.066847974589072,0.290128868917376
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,4,0.909044090981664,2.48162941624125,0.959515205369447,0.672024134520554,0.328397250373541,S13,3.45548743836108,39.8376853267288,82.9814303918792,18.2799411180453,0.358735357072563,0.595471015867018
H122ba7,2020-02-19,90.9519457134946,65.7991933450941,26.1819747967501,4,0.909044090981664,2.48162941624125,0.959515205369447,0.672024134520554,0.328397250373541,S14,4.19762357845564,0.000160256981293988,85.5283321002664,1.31513507099835e-12,1.40577922829536,0.0487402450916959
